,Algorithm,Accuracy,F1,AUC
0,Optuna,0.8850887035855464,0.8992111849817491,0.9394231389840392
1,Optuna,0.8894927137650069,0.8960664408526374,0.9395344556223364
2,Optuna,0.8839922847315423,0.897032207052777,0.9407622609664748
3,Optuna,0.8873035430096881,0.9015631770505552,0.9397471007151984
4,Optuna,0.8872595395774203,0.8980939407934866,0.939120530589336
5,Optuna,0.8839739499680975,0.8942621710153674,0.9425479549445056
6,Optuna,0.8895440511026527,0.8993712915333534,0.9400505792250444
7,Optuna,0.8850850366328573,0.8992919908174146,0.9417130747281348
8,Optuna,0.8850923705382353,0.9002964186095844,0.9402411420708636
9,Optuna,0.8861997902503062,0.8991021381719057,0.9403082108965428
10,Optuna,0.8884036288163809,0.892641732106615,0.9400799033659136
11,Optuna,0.8828848650194715,0.899582477816332,0.9404825070574582
12,Optuna,0.88840729576907,0.8999334161110298,0.9408424518881344
13,Optuna,0.8861814554868613,0.8963215933461139,0.9418098501584966
14,Optuna,0.8872742073881762,0.901176376209684,0.9398990186114246
15,Optuna,0.8895367171972747,0.8965808663568806,0.9393905200033068
16,Optuna,0.8839886177788534,0.8968760284549758,0.9403305340896468
17,Optuna,0.8839886177788534,0.8953344566813796,0.9397487537011128
18,Optuna,0.8850960374909244,0.899886512779105,0.9418308967132484
19,Optuna,0.8839776169207866,0.8968278480896658,0.941357780872838
20,Optuna,0.8828738641614047,0.8970451489519652,0.9404510359128154
21,Optuna,0.8850887035855464,0.897735664260364,0.9393237184471968
22,Optuna,0.8883852940529362,0.8965869104294205,0.9397196094563326
23,Optuna,0.8861887893922393,0.8967845952584393,0.9409164506406134
24,Optuna,0.88622179196644,0.8966241341837544,0.93830970557114
25,Optuna,0.8851033713963022,0.8985077295833263,0.9410323144919782
26,Optuna,0.8884182966271369,0.895390326385941,0.940161804804279
27,Optuna,0.8839812838734754,0.895622046324242,0.9393265666768288
28,Optuna,0.8872742073881762,0.900005171094128,0.9397090207257982
29,Optuna,0.8883559584314243,0.900637479584848,0.9400086720064348
