,Algorithm,Accuracy,F1,AUC
13,PSO,0.874132292827945,0.8294716697246654,0.9877258583979964
14,PSO,0.8719509476031214,0.882502919657763,0.9866925153632125
15,PSO,0.8797138610182088,0.8667268468962722,0.9858122574928736
16,PSO,0.8875139353400222,0.854364850291106,0.9881277469198092
0,PSO,0.8696915644741732,0.8563971226087523,0.9879293244277604
1,Optuna,0.8997621701969528,0.8986565671944139,0.9913828526449938
2,Optuna,0.8997844667409884,0.8969302067810078,0.9916048212406018
3,Optuna,0.9008881456707544,0.8994824779299925,0.9917796344920452
4,PSO,0.8719137866963954,0.847267594923418,0.983475904288679
5,PSO,0.8552582683017466,0.8273474889397545,0.9880801983755766
6,PSO,0.8607952434039391,0.8855432147974995,0.9894616344515518
7,PSO,0.8273392790784095,0.8405348034675487,0.9862145087515688
8,PSO,0.8730471943515422,0.8729032633784906,0.9884148101358754
9,PSO,0.8518989223337049,0.8676387314743893,0.9900042917992676
10,PSO,0.8630471943515422,0.8691247549409765,0.988358850285876
11,PSO,0.8552434039390562,0.8766272905330368,0.9903735026549009
