,Algorithm,Accuracy,F1,AUC
107,Random Search,0.8773477664591173,0.8895953941027185,0.935785271989323
108,Random Search,0.8696508327649557,0.8811422955277703,0.9377734230715102
109,Random Search,0.8795626058832587,0.8877799736036659,0.9345814358816384
110,Random Search,0.8729364223742785,0.8935956017116524,0.9361599595699632
111,Random Search,0.8806516908318849,0.8845308713276033,0.9338464359145412
112,Random Search,0.8784258505496761,0.8811911327919034,0.9341092377886614
113,Random Search,0.8817811122600897,0.8892314569622645,0.9354792388200532
114,Random Search,0.8762146780782235,0.8921404795073667,0.9383811096466698
115,Random Search,0.8773771020806289,0.8897727797023022,0.9289839464969982
116,Random Search,0.8751072583661527,0.891447328714114,0.9361675867448236
117,Random Search,0.8751255931295975,0.8906180344478217,0.9348762630678188
118,Random Search,0.8773587673171841,0.900843953592065,0.9324639934269844
119,Random Search,0.8751329270349754,0.8916193944738623,0.9324160680729964
120,Random Search,0.867399323813924,0.8894893034909721,0.9367133886042938
121,Random Search,0.87844785226581,0.8904120060606594,0.9352936735315494
